Category: All categories

Week,Antidepressants: (United States)
2020-12-27,46
2021-01-03,50
2021-01-10,51
2021-01-17,54
2021-01-24,57
2021-01-31,57
2021-02-07,51
2021-02-14,53
2021-02-21,59
2021-02-28,60
2021-03-07,54
2021-03-14,55
2021-03-21,54
2021-03-28,57
2021-04-04,56
2021-04-11,55
2021-04-18,56
2021-04-25,59
2021-05-02,54
2021-05-09,53
2021-05-16,55
2021-05-23,53
2021-05-30,52
2021-06-06,51
2021-06-13,53
2021-06-20,56
2021-06-27,51
2021-07-04,50
2021-07-11,54
2021-07-18,55
2021-07-25,52
2021-08-01,52
2021-08-08,52
2021-08-15,52
2021-08-22,51
2021-08-29,50
2021-09-05,52
2021-09-12,49
2021-09-19,54
2021-09-26,54
2021-10-03,55
2021-10-10,57
2021-10-17,57
2021-10-24,75
2021-10-31,56
2021-11-07,57
2021-11-14,55
2021-11-21,46
2021-11-28,61
2021-12-05,55
2021-12-12,72
2021-12-19,47
2021-12-26,46
2022-01-02,54
2022-01-09,55
2022-01-16,54
2022-01-23,58
2022-01-30,67
2022-02-06,69
2022-02-13,65
2022-02-20,57
2022-02-27,62
2022-03-06,62
2022-03-13,63
2022-03-20,65
2022-03-27,100
2022-04-03,60
2022-04-10,63
2022-04-17,56
2022-04-24,66
2022-05-01,62
2022-05-08,58
2022-05-15,59
2022-05-22,54
2022-05-29,56
2022-06-05,52
2022-06-12,55
2022-06-19,57
2022-06-26,55
2022-07-03,60
2022-07-10,55
2022-07-17,62
2022-07-24,63
2022-07-31,55
2022-08-07,58
2022-08-14,54
2022-08-21,56
2022-08-28,53
2022-09-04,56
2022-09-11,52
2022-09-18,54
2022-09-25,55
2022-10-02,52
2022-10-09,56
2022-10-16,53
2022-10-23,56
2022-10-30,55
2022-11-06,55
2022-11-13,55
2022-11-20,46
2022-11-27,54
2022-12-04,50
2022-12-11,59
2022-12-18,45
2022-12-25,49
2023-01-01,51
2023-01-08,53
2023-01-15,55
2023-01-22,60
2023-01-29,56
2023-02-05,62
2023-02-12,57
2023-02-19,58
2023-02-26,58
2023-03-05,60
2023-03-12,54
2023-03-19,57
2023-03-26,53
2023-04-02,54
2023-04-09,61
2023-04-16,63
2023-04-23,59
2023-04-30,56
2023-05-07,56
2023-05-14,51
2023-05-21,53
2023-05-28,51
2023-06-04,49
2023-06-11,60
2023-06-18,53
2023-06-25,52
2023-07-02,48
2023-07-09,52
2023-07-16,51
2023-07-23,53
2023-07-30,50
2023-08-06,52
2023-08-13,50
2023-08-20,50
2023-08-27,49
2023-09-03,50
2023-09-10,52
2023-09-17,51
2023-09-24,52
2023-10-01,53
2023-10-08,52
2023-10-15,54
2023-10-22,50
2023-10-29,52
2023-11-05,51
2023-11-12,53
2023-11-19,45
2023-11-26,50
2023-12-03,55
2023-12-10,52
2023-12-17,48
2023-12-24,44
2023-12-31,47
2024-01-07,48
2024-01-14,49
2024-01-21,53
2024-01-28,54
2024-02-04,53
2024-02-11,51
2024-02-18,54
2024-02-25,54
2024-03-03,54
2024-03-10,53
2024-03-17,53
2024-03-24,52
2024-03-31,52
2024-04-07,51
2024-04-14,54
2024-04-21,55
2024-04-28,53
2024-05-05,55
2024-05-12,50
2024-05-19,49
2024-05-26,50
2024-06-02,52
2024-06-09,51
2024-06-16,51
2024-06-23,51
2024-06-30,48
2024-07-07,51
2024-07-14,50
2024-07-21,52
2024-07-28,48
2024-08-04,47
2024-08-11,49
2024-08-18,49
2024-08-25,48
2024-09-01,48
2024-09-08,51
2024-09-15,51
2024-09-22,51
2024-09-29,49
2024-10-06,48
2024-10-13,50
2024-10-20,63
