Category: All categories

Week,burnout: (United States)
2020-12-27,50
2021-01-03,52
2021-01-10,55
2021-01-17,57
2021-01-24,62
2021-01-31,63
2021-02-07,60
2021-02-14,61
2021-02-21,70
2021-02-28,65
2021-03-07,63
2021-03-14,66
2021-03-21,70
2021-03-28,63
2021-04-04,68
2021-04-11,71
2021-04-18,73
2021-04-25,73
2021-05-02,72
2021-05-09,64
2021-05-16,63
2021-05-23,62
2021-05-30,60
2021-06-06,62
2021-06-13,65
2021-06-20,65
2021-06-27,67
2021-07-04,63
2021-07-11,63
2021-07-18,62
2021-07-25,63
2021-08-01,69
2021-08-08,65
2021-08-15,63
2021-08-22,65
2021-08-29,65
2021-09-05,67
2021-09-12,69
2021-09-19,69
2021-09-26,77
2021-10-03,70
2021-10-10,75
2021-10-17,72
2021-10-24,72
2021-10-31,69
2021-11-07,78
2021-11-14,75
2021-11-21,62
2021-11-28,73
2021-12-05,66
2021-12-12,65
2021-12-19,54
2021-12-26,54
2022-01-02,68
2022-01-09,73
2022-01-16,66
2022-01-23,78
2022-01-30,79
2022-02-06,84
2022-02-13,79
2022-02-20,77
2022-02-27,74
2022-03-06,75
2022-03-13,87
2022-03-20,84
2022-03-27,89
2022-04-03,81
2022-04-10,83
2022-04-17,91
2022-04-24,84
2022-05-01,86
2022-05-08,90
2022-05-15,92
2022-05-22,83
2022-05-29,74
2022-06-05,78
2022-06-12,70
2022-06-19,78
2022-06-26,75
2022-07-03,69
2022-07-10,75
2022-07-17,73
2022-07-24,75
2022-07-31,78
2022-08-07,72
2022-08-14,72
2022-08-21,67
2022-08-28,74
2022-09-04,76
2022-09-11,84
2022-09-18,79
2022-09-25,77
2022-10-02,81
2022-10-09,80
2022-10-16,76
2022-10-23,77
2022-10-30,78
2022-11-06,76
2022-11-13,75
2022-11-20,63
2022-11-27,72
2022-12-04,77
2022-12-11,70
2022-12-18,55
2022-12-25,52
2023-01-01,61
2023-01-08,67
2023-01-15,65
2023-01-22,73
2023-01-29,76
2023-02-05,79
2023-02-12,73
2023-02-19,79
2023-02-26,77
2023-03-05,79
2023-03-12,79
2023-03-19,81
2023-03-26,81
2023-04-02,81
2023-04-09,81
2023-04-16,84
2023-04-23,92
2023-04-30,84
2023-05-07,80
2023-05-14,80
2023-05-21,70
2023-05-28,73
2023-06-04,66
2023-06-11,81
2023-06-18,67
2023-06-25,70
2023-07-02,67
2023-07-09,72
2023-07-16,71
2023-07-23,69
2023-07-30,70
2023-08-06,71
2023-08-13,68
2023-08-20,71
2023-08-27,69
2023-09-03,71
2023-09-10,86
2023-09-17,72
2023-09-24,86
2023-10-01,77
2023-10-08,86
2023-10-15,77
2023-10-22,83
2023-10-29,82
2023-11-05,82
2023-11-12,87
2023-11-19,70
2023-11-26,80
2023-12-03,83
2023-12-10,76
2023-12-17,62
2023-12-24,57
2023-12-31,68
2024-01-07,66
2024-01-14,68
2024-01-21,80
2024-01-28,76
2024-02-04,79
2024-02-11,76
2024-02-18,76
2024-02-25,84
2024-03-03,83
2024-03-10,87
2024-03-17,83
2024-03-24,75
2024-03-31,81
2024-04-07,82
2024-04-14,92
2024-04-21,91
2024-04-28,100
2024-05-05,89
2024-05-12,77
2024-05-19,86
2024-05-26,79
2024-06-02,75
2024-06-09,88
2024-06-16,81
2024-06-23,80
2024-06-30,80
2024-07-07,75
2024-07-14,78
2024-07-21,77
2024-07-28,78
2024-08-04,75
2024-08-11,77
2024-08-18,77
2024-08-25,75
2024-09-01,77
2024-09-08,79
2024-09-15,82
2024-09-22,84
2024-09-29,83
2024-10-06,75
2024-10-13,82
2024-10-20,89
