Category: All categories

Week,Depression Symptoms: (United States)
2020-12-27,76
2021-01-03,78
2021-01-10,79
2021-01-17,82
2021-01-24,90
2021-01-31,81
2021-02-07,91
2021-02-14,92
2021-02-21,93
2021-02-28,89
2021-03-07,89
2021-03-14,86
2021-03-21,86
2021-03-28,83
2021-04-04,82
2021-04-11,93
2021-04-18,85
2021-04-25,91
2021-05-02,85
2021-05-09,81
2021-05-16,82
2021-05-23,75
2021-05-30,78
2021-06-06,71
2021-06-13,79
2021-06-20,76
2021-06-27,70
2021-07-04,74
2021-07-11,79
2021-07-18,73
2021-07-25,75
2021-08-01,74
2021-08-08,73
2021-08-15,73
2021-08-22,69
2021-08-29,65
2021-09-05,71
2021-09-12,82
2021-09-19,75
2021-09-26,83
2021-10-03,84
2021-10-10,84
2021-10-17,89
2021-10-24,87
2021-10-31,89
2021-11-07,85
2021-11-14,86
2021-11-21,75
2021-11-28,88
2021-12-05,87
2021-12-12,79
2021-12-19,62
2021-12-26,70
2022-01-02,76
2022-01-09,75
2022-01-16,72
2022-01-23,81
2022-01-30,87
2022-02-06,94
2022-02-13,87
2022-02-20,82
2022-02-27,89
2022-03-06,83
2022-03-13,81
2022-03-20,85
2022-03-27,90
2022-04-03,94
2022-04-10,92
2022-04-17,92
2022-04-24,100
2022-05-01,96
2022-05-08,91
2022-05-15,83
2022-05-22,79
2022-05-29,75
2022-06-05,77
2022-06-12,74
2022-06-19,73
2022-06-26,71
2022-07-03,72
2022-07-10,74
2022-07-17,77
2022-07-24,76
2022-07-31,72
2022-08-07,69
2022-08-14,67
2022-08-21,74
2022-08-28,67
2022-09-04,69
2022-09-11,82
2022-09-18,84
2022-09-25,84
2022-10-02,85
2022-10-09,88
2022-10-16,85
2022-10-23,90
2022-10-30,86
2022-11-06,80
2022-11-13,85
2022-11-20,69
2022-11-27,89
2022-12-04,97
2022-12-11,92
2022-12-18,67
2022-12-25,63
2023-01-01,70
2023-01-08,85
2023-01-15,81
2023-01-22,82
2023-01-29,89
2023-02-05,92
2023-02-12,94
2023-02-19,94
2023-02-26,94
2023-03-05,88
2023-03-12,87
2023-03-19,88
2023-03-26,88
2023-04-02,80
2023-04-09,84
2023-04-16,91
2023-04-23,94
2023-04-30,85
2023-05-07,80
2023-05-14,77
2023-05-21,72
2023-05-28,71
2023-06-04,72
2023-06-11,66
2023-06-18,65
2023-06-25,68
2023-07-02,68
2023-07-09,66
2023-07-16,63
2023-07-23,64
2023-07-30,63
2023-08-06,64
2023-08-13,63
2023-08-20,59
2023-08-27,60
2023-09-03,61
2023-09-10,72
2023-09-17,78
2023-09-24,78
2023-10-01,76
2023-10-08,79
2023-10-15,79
2023-10-22,79
2023-10-29,78
2023-11-05,81
2023-11-12,84
2023-11-19,69
2023-11-26,91
2023-12-03,92
2023-12-10,86
2023-12-17,64
2023-12-24,54
2023-12-31,61
2024-01-07,67
2024-01-14,60
2024-01-21,70
2024-01-28,75
2024-02-04,79
2024-02-11,75
2024-02-18,75
2024-02-25,76
2024-03-03,73
2024-03-10,77
2024-03-17,78
2024-03-24,73
2024-03-31,69
2024-04-07,70
2024-04-14,80
2024-04-21,82
2024-04-28,78
2024-05-05,73
2024-05-12,60
2024-05-19,61
2024-05-26,58
2024-06-02,63
2024-06-09,61
2024-06-16,61
2024-06-23,64
2024-06-30,57
2024-07-07,60
2024-07-14,55
2024-07-21,59
2024-07-28,58
2024-08-04,53
2024-08-11,52
2024-08-18,58
2024-08-25,57
2024-09-01,59
2024-09-08,66
2024-09-15,72
2024-09-22,65
2024-09-29,75
2024-10-06,66
2024-10-13,72
2024-10-20,74
