Category: All categories

Week,Mental Health Support: (United States)
2020-12-27,21
2021-01-03,29
2021-01-10,32
2021-01-17,32
2021-01-24,43
2021-01-31,34
2021-02-07,35
2021-02-14,38
2021-02-21,38
2021-02-28,41
2021-03-07,33
2021-03-14,34
2021-03-21,41
2021-03-28,36
2021-04-04,37
2021-04-11,38
2021-04-18,42
2021-04-25,43
2021-05-02,40
2021-05-09,39
2021-05-16,38
2021-05-23,37
2021-05-30,34
2021-06-06,35
2021-06-13,31
2021-06-20,37
2021-06-27,31
2021-07-04,27
2021-07-11,32
2021-07-18,32
2021-07-25,35
2021-08-01,33
2021-08-08,36
2021-08-15,32
2021-08-22,35
2021-08-29,33
2021-09-05,37
2021-09-12,42
2021-09-19,46
2021-09-26,40
2021-10-03,48
2021-10-10,43
2021-10-17,41
2021-10-24,42
2021-10-31,43
2021-11-07,49
2021-11-14,50
2021-11-21,40
2021-11-28,45
2021-12-05,46
2021-12-12,43
2021-12-19,23
2021-12-26,26
2022-01-02,32
2022-01-09,40
2022-01-16,42
2022-01-23,50
2022-01-30,48
2022-02-06,58
2022-02-13,53
2022-02-20,52
2022-02-27,63
2022-03-06,47
2022-03-13,54
2022-03-20,53
2022-03-27,58
2022-04-03,63
2022-04-10,59
2022-04-17,72
2022-04-24,70
2022-05-01,71
2022-05-08,66
2022-05-15,66
2022-05-22,61
2022-05-29,51
2022-06-05,46
2022-06-12,46
2022-06-19,44
2022-06-26,48
2022-07-03,40
2022-07-10,55
2022-07-17,49
2022-07-24,49
2022-07-31,45
2022-08-07,43
2022-08-14,46
2022-08-21,49
2022-08-28,52
2022-09-04,52
2022-09-11,54
2022-09-18,59
2022-09-25,61
2022-10-02,62
2022-10-09,64
2022-10-16,69
2022-10-23,60
2022-10-30,60
2022-11-06,60
2022-11-13,64
2022-11-20,43
2022-11-27,69
2022-12-04,69
2022-12-11,65
2022-12-18,37
2022-12-25,30
2023-01-01,38
2023-01-08,52
2023-01-15,54
2023-01-22,58
2023-01-29,59
2023-02-05,68
2023-02-12,67
2023-02-19,61
2023-02-26,65
2023-03-05,73
2023-03-12,56
2023-03-19,69
2023-03-26,66
2023-04-02,65
2023-04-09,73
2023-04-16,76
2023-04-23,80
2023-04-30,81
2023-05-07,73
2023-05-14,65
2023-05-21,62
2023-05-28,52
2023-06-04,58
2023-06-11,56
2023-06-18,54
2023-06-25,55
2023-07-02,45
2023-07-09,50
2023-07-16,55
2023-07-23,56
2023-07-30,50
2023-08-06,53
2023-08-13,54
2023-08-20,47
2023-08-27,57
2023-09-03,56
2023-09-10,67
2023-09-17,68
2023-09-24,73
2023-10-01,73
2023-10-08,74
2023-10-15,70
2023-10-22,73
2023-10-29,73
2023-11-05,76
2023-11-12,82
2023-11-19,56
2023-11-26,83
2023-12-03,90
2023-12-10,68
2023-12-17,46
2023-12-24,33
2023-12-31,46
2024-01-07,62
2024-01-14,59
2024-01-21,70
2024-01-28,83
2024-02-04,84
2024-02-11,77
2024-02-18,75
2024-02-25,82
2024-03-03,81
2024-03-10,72
2024-03-17,76
2024-03-24,69
2024-03-31,75
2024-04-07,85
2024-04-14,91
2024-04-21,100
2024-04-28,97
2024-05-05,80
2024-05-12,72
2024-05-19,76
2024-05-26,67
2024-06-02,72
2024-06-09,67
2024-06-16,59
2024-06-23,68
2024-06-30,58
2024-07-07,63
2024-07-14,67
2024-07-21,66
2024-07-28,58
2024-08-04,62
2024-08-11,60
2024-08-18,71
2024-08-25,74
2024-09-01,71
2024-09-08,90
2024-09-15,100
2024-09-22,96
2024-09-29,93
2024-10-06,97
2024-10-13,89
2024-10-20,100
