Category: All categories

Week,Therapy: (United States)
2020-12-27,53
2021-01-03,61
2021-01-10,65
2021-01-17,64
2021-01-24,67
2021-01-31,70
2021-02-07,67
2021-02-14,66
2021-02-21,69
2021-02-28,74
2021-03-07,73
2021-03-14,67
2021-03-21,68
2021-03-28,69
2021-04-04,73
2021-04-11,73
2021-04-18,74
2021-04-25,78
2021-05-02,76
2021-05-09,74
2021-05-16,75
2021-05-23,74
2021-05-30,68
2021-06-06,71
2021-06-13,72
2021-06-20,74
2021-06-27,72
2021-07-04,67
2021-07-11,72
2021-07-18,73
2021-07-25,69
2021-08-01,73
2021-08-08,70
2021-08-15,70
2021-08-22,72
2021-08-29,72
2021-09-05,70
2021-09-12,76
2021-09-19,76
2021-09-26,73
2021-10-03,74
2021-10-10,77
2021-10-17,79
2021-10-24,74
2021-10-31,79
2021-11-07,79
2021-11-14,79
2021-11-21,61
2021-11-28,80
2021-12-05,77
2021-12-12,72
2021-12-19,57
2021-12-26,59
2022-01-02,75
2022-01-09,79
2022-01-16,73
2022-01-23,78
2022-01-30,80
2022-02-06,87
2022-02-13,84
2022-02-20,84
2022-02-27,87
2022-03-06,84
2022-03-13,82
2022-03-20,87
2022-03-27,82
2022-04-03,87
2022-04-10,80
2022-04-17,84
2022-04-24,87
2022-05-01,87
2022-05-08,83
2022-05-15,79
2022-05-22,79
2022-05-29,73
2022-06-05,82
2022-06-12,79
2022-06-19,78
2022-06-26,83
2022-07-03,74
2022-07-10,82
2022-07-17,81
2022-07-24,80
2022-07-31,83
2022-08-07,82
2022-08-14,83
2022-08-21,84
2022-08-28,81
2022-09-04,77
2022-09-11,85
2022-09-18,82
2022-09-25,80
2022-10-02,83
2022-10-09,87
2022-10-16,85
2022-10-23,85
2022-10-30,82
2022-11-06,83
2022-11-13,84
2022-11-20,64
2022-11-27,84
2022-12-04,82
2022-12-11,82
2022-12-18,66
2022-12-25,65
2023-01-01,81
2023-01-08,86
2023-01-15,86
2023-01-22,90
2023-01-29,90
2023-02-05,91
2023-02-12,88
2023-02-19,85
2023-02-26,93
2023-03-05,90
2023-03-12,87
2023-03-19,93
2023-03-26,91
2023-04-02,89
2023-04-09,88
2023-04-16,87
2023-04-23,91
2023-04-30,90
2023-05-07,88
2023-05-14,89
2023-05-21,83
2023-05-28,81
2023-06-04,86
2023-06-11,85
2023-06-18,85
2023-06-25,82
2023-07-02,75
2023-07-09,85
2023-07-16,80
2023-07-23,90
2023-07-30,83
2023-08-06,85
2023-08-13,82
2023-08-20,85
2023-08-27,80
2023-09-03,84
2023-09-10,82
2023-09-17,89
2023-09-24,88
2023-10-01,85
2023-10-08,85
2023-10-15,86
2023-10-22,89
2023-10-29,87
2023-11-05,87
2023-11-12,84
2023-11-19,70
2023-11-26,93
2023-12-03,93
2023-12-10,88
2023-12-17,74
2023-12-24,70
2023-12-31,84
2024-01-07,89
2024-01-14,86
2024-01-21,96
2024-01-28,95
2024-02-04,94
2024-02-11,90
2024-02-18,97
2024-02-25,96
2024-03-03,93
2024-03-10,94
2024-03-17,97
2024-03-24,88
2024-03-31,91
2024-04-07,87
2024-04-14,92
2024-04-21,98
2024-04-28,91
2024-05-05,92
2024-05-12,88
2024-05-19,83
2024-05-26,83
2024-06-02,89
2024-06-09,87
2024-06-16,87
2024-06-23,88
2024-06-30,81
2024-07-07,90
2024-07-14,88
2024-07-21,87
2024-07-28,85
2024-08-04,87
2024-08-11,94
2024-08-18,96
2024-08-25,93
2024-09-01,90
2024-09-08,95
2024-09-15,92
2024-09-22,90
2024-09-29,91
2024-10-06,90
2024-10-13,91
2024-10-20,100
